gene,SRR1039508,SRR1039516,SRR1039520,SRR1039509,SRR1039513,SRR1039517
ENSG00000011028.13,2302070,2390717,2811923,1695973,2449577,2488281
ENSG00000011465.16,27729566,38890898,62894520,24278402,48296260,39491276
ENSG00000026025.14,12270550,15644366,17523855,7973495,13047035,10838393
ENSG00000026508.16,2652268,3538817,4172541,1700149,3607947,3703811
ENSG00000035862.12,6374379,9161771,8186693,5409339,10517311,11024411
ENSG00000044574.7,2047353,2182518,1706725,1652105,1660051,5128276
ENSG00000047849.21,1967094,2580317,2135502,1821209,2644863,3156104
ENSG00000049323.15,1812221,2495968,2253602,2742942,3901391,4106347
ENSG00000050165.17,1613753,2493379,2638287,1627407,2963969,3423627
ENSG00000065534.18,2213463,2942729,2692009,2134403,3479671,3731466
ENSG00000067225.17,3230529,4080598,3226424,2196293,2882845,4169284
ENSG00000070756.14,2382268,2935212,2638605,2197760,2565324,2843694
ENSG00000071967.11,2860697,5128406,4722060,2768405,5229692,6126517
ENSG00000075624.13,6964078,8417133,8642953,9499923,17494896,26048683
ENSG00000077942.18,21005934,24655139,23272665,17829557,27631016,26718953
ENSG00000084234.16,2556172,4447646,3951275,2409687,4304056,4790854
ENSG00000087086.14,27428612,41909348,25127471,16033780,19492598,26534589
ENSG00000087245.12,17239356,25724192,20755697,12633089,16565951,24745863
ENSG00000089157.15,3398083,2352168,2819160,3491327,2962032,2799461
ENSG00000090006.17,4212235,4347962,4154903,3251343,3619935,4683179
ENSG00000091136.13,2742842,3258884,3794812,4917874,5709795,5824495
ENSG00000091986.15,18228543,11237564,32250645,17820202,38079272,19471669
ENSG00000100097.11,2490002,2639626,2820690,2057477,2252214,2756419
ENSG00000100234.11,7182057,9425357,10459999,4428805,7910391,4701907
ENSG00000100316.15,3617203,3184481,3312259,3207706,2884463,3516458
ENSG00000100345.20,4632787,7055221,4916585,4276980,6551473,10916308
ENSG00000101335.9,1207610,2332239,1837174,1487319,3440639,4357355
ENSG00000102265.11,1797813,2974561,3187083,1035177,2576405,2922274
ENSG00000103888.15,5309827,8700952,13893152,6684693,33684408,37431394
ENSG00000107562.16,6838731,8012554,7467371,1344676,1178036,2355451
ENSG00000108298.9,2261495,2514753,2167137,2119624,2068709,2731842
ENSG00000108821.13,18173063,24397377,22411287,6629908,8413942,12113785
ENSG00000109971.13,2157985,4576735,2733058,1704049,2821911,3962723
ENSG00000110321.15,3898234,4467711,4284903,3241526,4269848,4862405
ENSG00000110651.11,2133472,2433403,2662319,1754860,2805701,2710243
ENSG00000111640.14,6453503,7560898,6195500,4779550,5815723,9958533
ENSG00000111799.20,5695038,8280329,6269441,4136799,6167727,7685928
ENSG00000112096.16,1432350,3028095,1190321,1743563,3339559,3205675
ENSG00000112769.18,2418624,3118408,2565816,2022048,2707832,3783969
ENSG00000113140.10,4615980,5649304,5793787,3239865,3732029,4149182
ENSG00000113721.13,2230360,2902478,2593120,2329179,3740889,3746857
ENSG00000115310.17,1729465,2424639,2358368,1627610,3034955,3013923
ENSG00000115380.19,1975441,3709030,2660443,1764127,4400960,4738960
ENSG00000115414.18,32964395,33538108,57416788,27152667,61859905,50501624
ENSG00000115461.4,9981318,33806665,25800997,10717488,32447778,29109353
ENSG00000115677.16,3216984,3739174,3622406,2517050,3378981,4177156
ENSG00000115963.13,2866859,3482851,3740098,1147081,2233105,2303454
ENSG00000116016.13,3358415,4742542,3957098,1621708,2272072,4232656
ENSG00000116260.16,29883472,29592672,29153854,26000496,26889473,38214073
ENSG00000119681.11,4698351,4110045,4882796,3298507,3855856,4768141
ENSG00000122786.19,2093882,2655941,2268524,2904437,4382866,6539414
ENSG00000123384.13,11418147,12299112,14521358,8603064,10500092,15024096
ENSG00000124942.13,11248074,11871048,13610163,10735379,15742890,18321979
ENSG00000128595.16,2515432,4071043,3529848,2446884,4423401,4968361
ENSG00000129116.17,1647469,2562204,2427923,2259849,5242236,5892458
ENSG00000131016.16,4697356,5048466,8546923,2331705,5436265,3283403
ENSG00000133112.16,8821219,9001820,9686438,8335739,10867565,10692396
ENSG00000134294.13,1691435,1993816,1841376,2561919,5383168,4151521
ENSG00000134352.19,5909056,5298907,7526586,4517370,7884465,7679407
ENSG00000134853.11,2188251,2630698,3117788,2278397,5335318,3999157
ENSG00000135404.11,2887516,4186081,3571285,2346417,3246249,4349223
ENSG00000135821.17,635594,697805,564670,4772542,4968991,3063834
ENSG00000135862.5,2926927,4260223,3496771,5003077,6274886,7272488
ENSG00000136235.15,4122747,4748642,4315164,2439953,3628038,3962777
ENSG00000136830.11,1761482,2357584,1943536,2117642,3368922,4377358
ENSG00000137076.19,2044495,2476606,2379761,2395923,3295079,4894301
ENSG00000137154.12,3417244,3365744,3099691,3421105,3071417,3378058
ENSG00000137801.10,4538458,5389696,5508743,8228055,29849722,30436841
ENSG00000138119.16,1458915,2595073,2467456,1417624,2304959,3589364
ENSG00000138758.11,2335929,3646963,3818066,2417049,2857458,5388879
ENSG00000138829.11,849828,1593729,579923,2082858,1647804,9828344
ENSG00000141753.6,7715090,22973612,9252576,6482815,7376751,22215615
ENSG00000142156.14,8569052,12482765,13238787,7556173,10107705,13470950
ENSG00000142173.14,10602256,13145460,15354916,8195565,12805443,15209759
ENSG00000142192.20,3600030,3909911,4305276,2918196,3799519,4123457
ENSG00000143387.12,2845323,6317983,4934910,2137744,6225585,6044789
ENSG00000148926.9,1625733,1540175,2426087,2162917,3391266,3925849
ENSG00000149131.15,2076275,1634114,3159305,2506128,4360940,2395724
ENSG00000149925.17,2570860,2811807,2347359,1921348,2179431,3942542
ENSG00000150093.18,3509788,5536379,5785412,3536711,7697688,7717853
ENSG00000150991.14,3521135,5002003,4991473,3937297,5829278,5667061
ENSG00000154734.14,796344,1385438,2209810,4616323,8193672,7945557
ENSG00000156508.17,12016098,11261559,12609897,10291354,10898305,10074919
ENSG00000157227.12,3652823,5461072,4061634,3290133,4012124,3949894
ENSG00000159403.15,5947367,5672635,7009446,6194999,7844690,7101781
ENSG00000161011.19,3370561,3518357,3352363,1750518,2032410,2161318
ENSG00000162407.8,3582094,4322752,6761439,1691421,2746216,2513461
ENSG00000162733.16,2139816,2776883,2810066,1705905,2953160,3024531
ENSG00000163359.15,13800183,14744481,14552379,9811163,9757200,12066349
ENSG00000163430.10,5240384,6419841,8224002,10494528,14801412,10829119
