gene,CTRL1,CTRL2,CTRL3,CTRL4,TRT1,TRT2,TRT3,TRT4
GENE001,23,27,23,23,81,87,100,94
GENE002,30,26,26,25,74,98,94,94
GENE003,16,16,20,22,92,89,94,83
GENE004,26,26,21,33,27,30,21,21
GENE005,23,24,28,26,22,20,22,31
GENE006,20,26,27,17,25,31,14,23
GENE007,24,20,27,24,17,29,28,29
GENE008,32,26,25,18,28,21,22,18
GENE009,20,22,31,14,17,26,32,27
GENE010,15,12,26,21,19,29,30,25
GENE011,26,27,32,28,7,7,2,9
GENE012,29,27,15,21,8,1,5,8
GENE013,18,33,27,24,6,7,6,8
GENE014,21,22,30,25,20,29,32,22
GENE015,18,24,24,23,32,19,31,18
GENE016,21,28,30,29,26,25,25,27
GENE017,24,26,27,25,28,27,35,26
GENE018,22,23,24,29,23,26,34,12
GENE019,19,26,26,26,22,28,26,22
GENE020,37,26,22,24,23,24,11,22
GENE021,30,19,24,29,29,32,16,23
GENE022,23,28,30,11,30,17,28,17
GENE023,25,30,24,25,28,25,24,32
GENE024,30,23,38,19,29,23,25,28
GENE025,26,28,17,17,28,20,19,17
GENE026,31,28,32,20,25,19,28,32
GENE027,20,32,29,24,15,32,24,21
GENE028,26,27,32,19,30,32,32,24
GENE029,21,30,25,25,32,23,13,23
GENE030,15,29,26,21,24,29,25,31
GENE031,24,30,32,33,21,29,15,19
GENE032,15,30,18,24,24,24,22,26
GENE033,33,25,27,30,24,18,22,30
GENE034,16,22,30,28,25,29,25,19
GENE035,17,21,29,22,20,21,17,24
GENE036,19,26,13,26,21,15,28,23
GENE037,13,20,26,22,28,28,28,26
GENE038,31,28,27,14,29,31,23,22
GENE039,34,16,27,37,20,28,34,24
GENE040,27,29,20,24,26,29,24,24
